Add	O
I’m	O
going	O
to	O
swim	O
this	O
Sunday	O
,	O
priority	PRIORITY
high	PRIORITY
,	O
tag	O
with	O
important	O
.	O

Today	O
,	O
18:00	O
to	O
20:00	O
,	O
watch	O
lsm	O
webcast	O
priority	PRIORITY
medium	PRIORITY
tag	O
with	O
important	O
.	O

add	O
buy	O
a	O
pen	O
tomorrow	O
priority	PRIORITY
low	PRIORITY
.	O

add	O
clean	O
blackboard	O
tomorrow	O
.	O

add	O
turn	O
on	O
the	O
computer	O
tomorrow	O
.	O

add	O
buy	O
a	O
keyboar	O
today	O
.	O

add	O
go	O
toilet	O
today	O
,	O
priority	PRIORITY
high	PRIORITY
.	O

add	O
attend	O
cs2103	O
lecture	O
this	O
Friday	O
.	O

add	O
go	O
to	O
grandma’s	O
home	O
this	O
Friday	O
priority	PRIORITY
high	PRIORITY
.	O

Add	O
reading	O
books	O
tomorrow O
,	O
18:00	O
to	O
20:00	O
.	O

Add	O
repair	O
computer	O
10	O
Oct 	O
priority	PRIORITY
low	PRIORITY
.	O

add	O
dog	O
fooding	O
Oct	O
26	O
.	O

Create	O
watch	O
movie	O
with	O
roommate	O
,	O
priority	PRIORITY
low	PRIORITY
.	O

create	O
watch	O
movie	O
with	O
roommate	O
,	O
priority	PRIORITY
low	PRIORITY
.	O

update	O
task	O
1	O
priority	PRIORITY
high	PRIORITY
.	O

update	O
1	O
to	O
priority	PRIORITY
medium	PRIORITY
.	O


add	O
test	O
2	O
,	O
priority	PRIORITY
high	PRIORITY


add	O
test	O
1	O
,	O
priority	PRIORITY
high	PRIORITY


add	O
test	O
2	O
priority	PRIORITY
low	PRIORITY
